REFERENCE POINT,Volttron Point Name,Units,Unit Details,Modbus Register,Writable,Point Address,Default Value,Notes,Variance
/Devices/Shirley-MA/South/ESS/Config/ProtocolVersion,ESS.Config.ProtocolVersion,,,>H,FALSE,695,,pass through per Tesla spec,
/Devices/Shirley-MA/South/ESS/Config/NumbBlocks,ESS.Config.NumbBlocks,,,>H,FALSE,696,,pass through per Tesla spec,
/Devices/Shirley-MA/South/ESS/Config/NumBattMeters,ESS.Config.NumBattMeters,,,>H,FALSE,729,,pass through per Tesla spec,
/Devices/Shirley-MA/South/ESS/Config/NumSiteMeters,ESS.Config.NumSiteMeters,,,>H,FALSE,730,,pass through per Tesla spec,
/Devices/Shirley-MA/South/ESS/Config/NumGenMeters,ESS.Config.NumGenMeters,,,>H,FALSE,731,,pass through per Tesla spec,
/Devices/Shirley-MA/South/ESS/Config/NumLoadMeters,ESS.Config.NumLoadMeters,,,>H,FALSE,732,,pass through per Tesla spec,
/Devices/Shirley-MA/South/ESS/Config/NumBusMeters,ESS.Config.NumBusMeters,,,>H,FALSE,733,,pass through per Tesla spec,
/Devices/Shirley-MA/South/ESS/Config/MaxChargePower,ESS.Config.MaxChargePower,,,>i,FALSE,734,,pass through per Tesla spec,
/Devices/Shirley-MA/South/ESS/Config/MaxDischargePower,ESS.Config.MaxDischargePower,,,>i,FALSE,736,,pass through per Tesla spec,
/Devices/Shirley-MA/South/ESS/Config/MaxApparentPower,ESS.Config.MaxApparentPower,,,>i,FALSE,738,,pass through per Tesla spec,
/Devices/Shirley-MA/South/ESS/Config/Energy,ESS.Config.Energy,,,>i,FALSE,740,,pass through per Tesla spec,
/Devices/Shirley-MA/South/ESS/Status/CommandSource,ESS.Status.CommandSource,,,>H,FALSE,744,,pass through per Tesla spec,
/Devices/Shirley-MA/South/ESS/Status/BatteryTargetP,ESS.Status.BatteryTargetP,,,>i,FALSE,745,,pass through per Tesla spec,
/Devices/Shirley-MA/South/ESS/Status/BatteryTargetQ,ESS.Status.BatteryTargetQ,,,>i,FALSE,747,,pass through per Tesla spec,
